name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Electron Microbolter,magellan_ebolter_ftr,0,,300,400,,35,,1,75,9,,,,ENERGY,20,,,0.325,1.5,0.1,0,0,0,0,,1600,,,45,,,SYSTEM,energy12,,Magellan,,General,,,,,,,,,,1.3
Electron Bomb Bay,magellan_electrontorp_ftr,0,,1000,500,,300,400,0,30,8,2,,,ENERGY,0,,,0.65,1,0.35,1,4,4,5,,350,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_LINKED, SYSTEM, SYSTEM",strike10,SR_strike_only,Magellan,,Strike,,,,,,,,,,19.75
Light Fusion Lance,magellan_minifusion_lance,1,,1500,600,900,,,0,45,8,,,,ENERGY,,900,0.25,0.5,1,3.87,,,,,30000,,,,,,,SYSTEM,"energy12, beam8",,Magellan,,General,,,,,,,,,,20
Bonechipper,magellan_bonesaw_ftr,0,,300,450,,120,,1,75,3,,,,FRAGMENTATION,30,,,0.6,2.5,0.1,1,6,1,20,,950,,,45,,,SYSTEM,he7,,Magellan,,General,,,,,,,,,,1.3
Bonechip Flak,magellan_boneshaker_ftr,0,,300,600,,120,,1,60,10,,,,FRAGMENTATION,30,,,0.4,1,,2,8,1,15,,800,,,45,,,"PD, PD_ALSO, SYSTEM, SYSTEM","he11, pd",,Magellan,,General,,,,,,,,,,1.3
Chasefire AFM Rack,magellan_crackerftrsingle,0,,500,750,,200,200,50,0,2,2,0.12,1,FRAGMENTATION,0,,,2,1,,0,0,0,0,,425,175,3.5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM, SYSTEM",missile3,,Magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,2.1
Chasefire AFM Bay,magellan_crackerftr,0,,500,750,,200,200,50,0,3,4,0.3,2,FRAGMENTATION,0,,,2,1,,0,0,0,0,,425,175,3.5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM, SYSTEM",missile4,,Magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,2.1
Chasefire AFM Bay (Double),magellan_crackerftrdouble,0,,500,750,,200,200,50,0,4,8,0.3,4,FRAGMENTATION,0,,,2.38,2,0.12,0,0,0,0,,425,175,3.5,150,,,"ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM, SYSTEM",missile5,,Magellan,,Anti-fighter,Medium,Good,,,,,,,TRUE,2.1
Balefire MRM Pod,magellan_balefiremrm_ftr,0,,2500,2000,,400,,25,10,6,6,,,ENERGY,0,,,6,1,,2,8,2,10,,400,100,6,225,,,"SYSTEM, DO_NOT_AIM, GROUP_ALTERNATING, DO_NOT_CONSERVE","utility9, missile5",,Magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,100-200 | Energy,,,,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Leveller Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Electron Lance,magellan_electrolance_med,3,,3000,1200,600,,200,0,12,12,,,,ENERGY,,857,0.15,1.8,0.9,1.65,,,,,30000,,,,,,,SYSTEM,"energy20, beam10",,Leveller,,General,,,,,,,,,,20
Heavy Electron Bolter,magellan_ebolter,3,0.3,1500,500,,75,200,0,30,7,,,,ENERGY,100,,0.1,0.5,1,,0,3,1,15,,1000,,,,,,,"energy10, LR, leveller, magellan_levellercore_bp, rare_bp",,Leveller,,General,,,,,"Hits on hull or armor have a %s chance to %s, dealing extra damage equal to the original hit.",30% | arc to weapons and engines,,,,19.25
Spreadfire Bolter,magellan_eflak,3,0.6,900,300,,50,100,0,120,6,12,2,3,FRAGMENTATION,30,,0.1,0.4,1,,1,6,1,12,,700,,,,,,"PD, PD_ALSO","energy8, pd10, leveller, magellan_levellercore_bp, rare_bp",,Leveller,,Point Defense,,,,Spread Pattern,,,,,,19.25
Diffusion Gun,magellan_diffusiongun,0,0.5,1200,600,,120,,5,40,5,,,,FRAGMENTATION,30,,0.1,0.5,1.5,0.15,0,0,0,0,,1200,,,,,,SYSTEM,"energy9, leveller, magellan_levellercore_bp, rare_bp",,Leveller,,General,,,,,,,,,,20
Diffusion Pulser,magellan_diffusionlaser,3,0.5,3000,700,,200,,5,25,10,30,2,5,FRAGMENTATION,50,,0.1333,0.0333,1,,0,0,0,0,,1500,,,,,,,"energy15, leveller, magellan_levellercore_bp, rare_bp",,Leveller,,General,,,,,,,,,,20
Diffusion Heavy Repeater,magellan_diffusionheavy,3,0.5,7500,800,,200,,5,15,25,,,,FRAGMENTATION,50,,0.1,0.025,1,,0,0,0,0,,1500,,,,,,,"energy18, leveller, magellan_levellercore_bp, rare_bp",,Leveller,,General,,,,,,,,,,20
Stunfire Missile Pod,magellan_stunfire_rack,2,0.3,400,1500,,350,,30,10,4,10,,,HIGH_EXPLOSIVE,0,,0.1,5.75,2,0.15,4,8,2,5,,800,100,8,200,,,GUIDED_POOR,"strike5, missile4, leveller, magellan_levellercore_bp, rare_bp",,Leveller,,Anti Armor,Fast,Good,,,Shaped-charge warheads have %s/%s/%s chances to do %s/%s/%s additional damage to armor. This damage is not reduced by armor.,20% | 60% | 20% | 50 | 100 | 150,,,TRUE,9.8
Shockfire Needle Battery,magellan_electromissile_pod,3,0.3,4000,2000,,300,200,50,12,12,48,,,HIGH_EXPLOSIVE,,,,10.95,8,0.15,5,15,3,15,,600,150,12,200,,,"DO_NOT_AIM, GROUP_LINKED","strike13, missile9, leveller, magellan_levellercore_bp, rare_bp",,Leveller,,Strike,Fast,Excellent,,,"Hits on hull or armor will %s, dealing extra damage equal to %s of the original hit.",arc to weapons and engines | 25%,,,TRUE,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcfire AMM,magellan_emissile_ftr,3,,800,1200,,100,400,50,0,3,5,0.0333,1,FRAGMENTATION,,,,6,1,,0,0,0,0,,325,25,10,125,,,"GROUP_LINKED, DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM","utility6, missile4",,Leveller,,Support,Fast,Good,,,"Hits on hull or armor will %s, dealing extra damage equal to %s of the original hit.",arc to weapons and engines | 25%,,,TRUE,2.1
Stunfire Missiles,magellan_stunfire_ftr,0,,400,1200,,350,,30,10,4,3,,,HIGH_EXPLOSIVE,0,,,2.7,3,0.15,4,8,2,5,,600,50,8,200,,,"GUIDED_POOR, SYSTEM, SYSTEM","strike5, missile4",,Leveller,,Anti Armor,Fast,Good,,,Shaped-charge warheads have %s/%s/%s chances to do %s/%s/%s additional damage to armor. This damage is not reduced by armor.,20% | 60% | 20% | 50 | 100 | 150,,,TRUE,9.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Antique Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Converging Beam Laser,magellan_tribeamlaser,2,,1500,800,600,,,0,30,9,,,,ENERGY,,300,1.5,0.3,0.9,1.8,,,,,7200,,,,,,,,"beam13, magellan_civ, magellan_antique, hist2t, MG_BEAM_NEGATIVE_CONVERGE_OFFSET",,Antique,,Close Support,,,,,"Fully-charged beam %s on hull or armor, dealing %s extra %s damage.",deflagrates | 300 | High Explosive,Multiple beams will %s to full power.,converge as the weapon charges,,82
Electra CIWS,magellan_laservulcan,2,0.5,600,300,,20,,0,300,5,,,,FRAGMENTATION,5,,,0.1,2,0.1,0,6,1,15,,1200,,,,,,"PD,IGNORES_FLARES","energy7,pd7,SR,magellan_antique,hist1t",,Antique,,Point Defense,,,,,,,,,,19.25
Electron Charge PD,magellan_ioncharge,1,,1000,600,,100,400,50,50,5,4,0.75,2,ENERGY,100,,,0.6667,1,,2,6,2,5,,400,600,18,300,,,"BOMB, PD","energy5, pd6, magellan_antique, hist2t",,Antique,,Point Defense,,,,,Electrostatic-explosive rounds %s for a short time after detonation.,decoy missiles,,,,1.8
Wishbone Electrostat Gun,magellan_edefensor,3,0.3,800,800,,200,,0,60,6,,,,FRAGMENTATION,50,,0.1,0.4,1,,1,4,1,10,,2000,,,120,,,,"he5,magellan_antique,hist1t",,Antique,,General,,,,,Hypervelocity projectiles improve the chances of a hit on fast or distant targets.,,,,,1.3
Scramfire LRBM Launcher,magellan_cruisemissile_launcher,2,,1500,4000,,400,,50,12,10,24,0.125,6,HIGH_EXPLOSIVE,,,,10.8,3,0.6,12,20,4,5,,200,125,30,300,,,"STRIKE, USE_VS_FRIGATES, GROUP_LINKED, DO_NOT_AIM, DIRECT_AIM, CONSERVE_1","missile9, he8, LR, magellan_antique, magellan_derelict, hist2t",,Antique,,Fire Support,Medium,Good,,,,,The missile enters a dumbfire sprint mode %s from the target.,1200su,,2.1
Light Bonegrinder Chaingun,magellan_bonegrinder,2,0.5,1500,700,,75,,1,150,10,200,5.3333,20,FRAGMENTATION,15,,,0.075,5,0.075,1,10,0.5,15,,1500,,,50,0.2,,"PD,IGNORES_FLARES,NO_TURN_RATE_BOOST_WHEN_IDLE","he9,thumpus2t,magellan_antique,magellan_startiger",,Antique,,Point Defense,,,,,One in four rounds is a tracer.,,,,,1.4
Light Bonegrinder Tracers,magellan_bonegrinder_tracer,3,,0,700,,50,,1,0,0,,,,ENERGY,0,,,0.1,1,,0,0,0,0,,1500,,,50,,,SYSTEM,"no_sell, no_drop",,,,Point Defense,,,,,,,,,,1.4
Heavy Bonegrinder Chaingun,magellan_bonegrinder_hvy,3,0.3,4000,900,,300,,3,90,20,120,3.3333,10,FRAGMENTATION,75,,,0.1,2.5,0.1,0,5,1,10,,1350,,,150,0.3,,"PD,PD_ALSO,NO_TURN_RATE_BOOST_WHEN_IDLE","he18,thumpus3t,magellan_antique,magellan_startiger",,Antique,,General,,,,,One in three rounds is a tracer.,,,,,1.5
Heavy Bonegrinder Tracers,magellan_bonegrinder_hvy_tracer,3,,0,900,,150,,3,0,0,,,,ENERGY,0,,,0.1,1,,0,0,0,0,,1350,,,150,,,SYSTEM,"no_sell, no_drop",,,,General,,,,,,,,,,1.5
Silverdart ESD Gun,magellan_silverdart,3,0.1,2000,600,,50,,5,30,7,,,,KINETIC,60,,,0.853,2,0.16,2,8,1,15,,1000,,,50,,,,"kinetic9,magellan_antique,magellan_blackcollar",,Antique,,Anti Shield,,,,,Hits on hull or armor raise the target's hard flux by %s. One in every %s deliver %s damage and EMP instead.,25-50 | 4 to 8 rounds | Energy,,,,1.1
Silverdart EMP,magellan_silverdart_emp,3,,0,600,,50,200,4,30,7,,,,ENERGY,60,,,1,1,,0,0,0,0,,1000,,,50,,,SYSTEM,,,,,,,,,,,,,,,1.1
Silverbolt Autocannon,magellan_medautocannon,3,0.05,6000,800,,150,,5,30,12,,,,KINETIC,180,,,1.2,2,0.3,1,7,2,10,,1200,,,150,,,,"kinetic12,magellan_antique,magellan_blackcollar,hist2t",,Antique,,Anti Shield,,,,,Hits on hull or armor raise the target's hard flux by %s.,75-125,,,,1.2
Magnetic Hypercannon,magellan_supersolenoid,3,,12000,1000,,1000,400,30,20,30,,,,KINETIC,1800,,0.8,2.5333,1,,0,0,0,0,,1800,,,900,0.25,,NO_TURN_RATE_BOOST_WHEN_IDLE,"kinetic27, LR, no_sell, no_drop, restricted",,Antique,,General,,,,,"Hits on hull or armor raise the target's soft flux by %s, and additionally %s, dealing extra damage equal to %s of the original hit.",600 | arc to weapons and engines | 20%,,,,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Antique Built-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burst Machine Gun,magellan_emg_ftr,3,,200,350,,40,,1,75,4,,,,KINETIC,8,,,0.5,2,0.1,1,4,1,20,,1350,,,30,,,"PD, PD_ALSO, SYSTEM",kinetic5,,Antique,,General,,,,,High-velocity projectiles improve the chances of a hit on fast targets.,,,,,1.3
Twin Machine Gun,magellan_estat_ftr,0,,400,400,,30,,1,60,6,,,,KINETIC,6,,,0.1,2,0.1,1,4,1,20,,1350,,,30,,,"PD, PD_ALSO, SYSTEM, SYSTEM",kinetic9,,Antique,,General,,,,,High-velocity projectiles improve the chances of a hit on fast targets.,,,,,1.3
Spark AMM Bay,magellan_smartafm_bay,3,,1200,600,,150,,50,0,3,6,0.2,2,HIGH_EXPLOSIVE,0,,,2,1,,0,0,0,0,,480,120,5,200,,,"ANTI_FTR, DO_NOT_CONSERVE, DO_NOT_AIM, DIRECT_AIM, SYSTEM",missile6,,Antique,,Anti-fighter,Medium,Good,,,,,,,TRUE,2.1
Heavy Bomb Bay,magellan_dumbbombs,0,,1500,1200,,1000,,25,30,10,3,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,150,250,10,1500,,,"SYSTEM, STRIKE, BOMB",utility8,,Antique,,Strike,Very Slow,None,,,,,,,TRUE,13.5
Magnetic Hypergun,magellan_supersolenoid_sm,0,0.1,5000,800,,400,200,15,40,15,,,,KINETIC,600,,0.4,2.1,1,,0,0,0,0,,2000,,,300,0.25,,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE","kinetic15, LR, no_sell, restricted",,Antique,,General,,,,,"Hits on hull or armor raise the target's soft flux by %s, and additionally %s, dealing extra damage equal to %s of the original hit.",200 | arc to weapons and engines | 10%,,,,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Other Subfaction Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Gamma Torch,magellan_radflamer,3,0.1,1000,400,,30,,0,30,9,400,,,ENERGY,15,,0.1,3.9,5,0.05,0,0,0,0,,450,,,,,,SYSTEM,"he9, SR, no_sell, no_drop, restricted",,The Herd,,Anti Armor,,,,,Each shot deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.,100 | 10,,,,
Heavy Gamma Torch,magellan_radflamer_med,3,0.1,3000,500,,50,,0,12,14,400,,,ENERGY,25,,0.1,3.9,5,0.05,0,0,0,0,,550,,,,,,SYSTEM,"he14, SR, no_sell, no_drop, restricted",,The Herd,,Anti Armor,,,,,Each shot deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.,100 | 10,,,,
Cutting Laser,magellan_herdlaser,3,,400,1000,100,,,0,16,5,,,,HIGH_EXPLOSIVE,,50,0.1,0.1,,,,,,,2400,,,,,,,SYSTEM,"beam10, LR, no_sell, no_drop, restricted",,The Herd,,Fire Support,,,,,,,,,,18
Glowfire MRM Pod,magellan_radmissile_launcher,3,,1500,1200,,300,,20,24,5,10,0.25,5,ENERGY,,,,0.3,5,0.3,0,0,0,0,,300,100,6,150,,,"DO_NOT_CONSERVE, DO_NOT_AIM, SYSTEM","utility12, missile6, no_sell, no_drop, restricted",,The Herd,,General,Medium,Good,,,Each missile deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.,100 | 10,,,TRUE,2.1
Fuel Rod Projector,magellan_fuelrod_gun,3,0.05,4000,1000,,300,200,0,12,12,,,,ENERGY,450,,,3,1,0,2,5,1,2,,600,800,5,800,,,"STRIKE,USE_VS_FRIGATES","he14,LR,hist3t",,The Herd,,Close Support,,,,,Corrosive fuel rods do %s additional damage to armor. This damage is not reduced by armor.,100,,,,2.1
Fuel Pellet Shotgun,magellan_fuelscatter_flak,3,0.5,2100,800,,750,,0,20,14,,,,ENERGY,750,,,2.5,1,,1,3,2,10,,450,600,,500,,,,"he12,SR,hist2t",,The Herd,,General,,,,Spread Pattern,"Fires %s projectiles, each doing %s damage, plus %s additional damage to armor. This damage is not reduced by armor.",9-12 | 75 | 25,,,,1.5
Pellet Flak Sub,magellan_fuelscatter_sub,3,,0,850,,75,,0,20,0,,,,ENERGY,75,,,1,,,,,,,,450,600,,300,,,SYSTEM,,,,,,,,,,,,,,,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion Bomb Bay,magellan_fusbomb_ftr,0,,1350,600,,250,,0,30,8,3,,,HIGH_EXPLOSIVE,0,,,0.6,3,0.2,3,5,1,10,,200,400,8,300,,,"STRIKE, USE_VS_FRIGATES, GROUP_LINKED, SYSTEM, SYSTEM",strike10,SR_strike_only,Magellan,,Strike,,,,,Unstable fusion bolts do %s extra %s damage on hits to armor or hull.,50-150 | Energy,,,,19.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strikefire MRM Bay,magellan_electromissile_single,0,,0,1000,,500,,50,0,2,2,,,ENERGY,,,,5,1,,0,0,0,0,,500,150,8,300,,,"STRIKE, USE_VS_FRIGATES, GUIDED_POOR, DIRECT_AIM, SYSTEM, SYSTEM",strike9,,Tichel,,Strike,Medium,Average,,,Hits to armor or hull do %s additional damage to armor. This damage is not reduced by armor.,250,,,TRUE,2.1
Strikefire MRM Tube,magellan_strikefire_tube,3,,0,1000,,500,,50,0,5,6,,,ENERGY,,,0.1,6.9,1,,0,0,0,0,,500,150,8,300,,,"STRIKE, USE_VS_FRIGATES, GUIDED_POOR, DIRECT_AIM, SYSTEM",strike10,,Tichel,,Strike,Medium,Average,,,Hits to armor or hull do %s additional damage to armor. This damage is not reduced by armor.,250,,,TRUE,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Smokelayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokelaying Mortar,magellan_smokelauncher,,,,800,,50,,,,,,0,,FRAGMENTATION,0,0,,0.2,8,0.2,12,20,1,10,,90,600,2,100,,,SYSTEM,,,,,,,,,,,,,,,164
Smokelaying Mortar,magellan_smokelauncher_bad,,,,800,,50,,,,,,0,,FRAGMENTATION,0,0,,0.25,6,0.25,18,24,1,10,,75,500,2.5,100,,,SYSTEM,,,,,,,,,,,,,,,164
E-Charge Mortar,magellan_ionchargelauncher,,,,700,,100,400,50,,,,0,,ENERGY,0,0,,0.3,5,0.5,5,10,1,10,,300,500,7,300,,,SYSTEM,,,,,,,,,,,,,,,164
Microflare,magellan_microflares,,,,400,,0,,,,,,0,,FRAGMENTATION,0,0,,0,1,0,,,,,,90,60,6,30,,,SYSTEM,,,,,,,,,,,,,,,164
Microflare brief,magellan_microflare_brief,,,,200,,0,,,,,,0,,FRAGMENTATION,0,0,,0,1,0,,,,,,20,15,1,25,,,SYSTEM,,,,,,,,,,,,,,,164
Drone Missile Conversion,magellan_missiledrone_wpn,0,,0,1500,,600,,200,0,0,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,600,0,10,100000,,,"DIRECT_AIM, SYSTEM, SYSTEM",restricted,,,,Missile,Fast,Medium,,,,,,,TRUE,41
Flak Pods,magellan_flakpod_wpn,,,,300,,150,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,8,0.5,150,150,0,0,,50,150,4,150,,,SYSTEM,,,,,,,,,,,,,,,35.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Mount Armor,magellan_modfrigate_deco_yellowtail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,Tichel,,,,,,,,,,,,71
# === Magellan Content ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonerattler Cannon,magellan_bonerattler,3,,5500,800,,400,,1,20,18,,,,FRAGMENTATION,100,,,2.5,4,0.1,1,9,1.2,10,,800,,,100,,,RESET_BARREL_INDEX_ON_BURST,"he18, magellan, magellan_adv_bp",,Magellan,,General,,,,,,,,,,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrage Flenser CIWS,magellan_largeciws,2,,5000,600,,20,,1,90,16,200,30,50,HIGH_EXPLOSIVE,8,,,0.05,1,,2,8,0.25,10,,1350,,,10,,,"PD, IGNORES_FLARES, ANTI_FTR","he14, pd16, SR, magellan, magellan_core_bp",,Magellan,,Point Defense,,,,,"One in five rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range. Advanced built-in targeting sensors enable the weapon to identify decoy flares and not fire on them.",100% | 50% | 50%,,,,1.8
Barrage Tracers,magellan_largeciws_tracer,0,,0,625,,20,,1,90,1,,,,HIGH_EXPLOSIVE,10,,,1,1,,0,0,0,0,,1350,,,10,,,SYSTEM,,,Magellan,,,,,,,,,,,,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voidshatter Lance,magellan_heavylance,3,,8000,1000,4668,,,0,8,22,2,0.25,1,FRAGMENTATION,,1400,0.5,0.25,0.5,0.75,,,,,10000,,,,,,,"STRIKE, USE_VS_FRIGATES","he18, beam15, LR, magellan, magellan_antique, rare_bp, hist3t",,Magellan,,General,,,,,,65 | Energy,,,,11.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonecracker Assault Gun,magellan_bonecracker_ftr,0,,900,450,,225,,1,30,6,,,,FRAGMENTATION,75,,,0.5625,1,,0,4,1,5,,650,,,100,,,"SYSTEM, PD, PD_ALSO",he9,,Magellan,,Multipurpose,,,,Spread Pattern,"Fires a single %s damage %s core and six %s damage %s submunitions. Will target missiles if no other targets are in range.",75 | High Explosive | 25 | Fragmentation,,,,2.1
Revolver Assault Cannon,magellan_revgrenade_ftr,0,,1000,500,,100,,50,45,6,3,1.5,3,HIGH_EXPLOSIVE,100,,,0.222,1,,3,9,3,10,,850,1000,20,200,,,"SYSTEM, DO_NOT_CONSERVE",he7,,Magellan,,Anti Armor,,,,,,,,,,1.5
Ripfire SRM Bay,magellan_ripfiresrmftr,0,,600,800,,300,,10,4,4,4,0.24,2,FRAGMENTATION,0,,,2,1,,0,0,0,0,,560,140,6,100,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD, DIRECT_AIM, DO_NOT_CONSERVE","strike9, missile4",,Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,120,,,TRUE,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balefire MRM Launcher,magellan_balefiremrm_ftr2,0,,500,1200,,600,,25,500,5,4,,,ENERGY,0,,,10,1,,1,4,2,15,,400,100,12.5,275,,,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE, DO_NOT_CONSERVE, BOMB, GROUP_LINKED","utility5, missile6",,Magellan,,Fire Support,Medium,Good,,,Unstable fusion warheads do %s extra %s damage on hits to armor or hull.,150-300 | Energy,,,TRUE,2.4
Ripfire SRM Launcher,magellan_ripfiresrmftr2,0,,600,1200,,300,,10,500,4,16,,,FRAGMENTATION,0,,,9.88,2,0.12,0,0,0,0,,560,140,6,100,,,"SYSTEM, NO_TURN_RATE_BOOST_WHEN_IDLE, DO_NOT_CONSERVE, BOMB, DO_NOT_AIM, GROUP_LINKED, MISSILE_SPREAD, DIRECT_AIM","strike9, missile4",,Magellan,,Strike,Fast,Good,,,Volatile micro-warheads do %s additional damage to armor. This damage is not reduced by armor.,120,,,TRUE,2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slamfire Torpedo Tube,magellan_slamfire_tube,0,,500,1200,,1200,,30,10,5,4,,,HIGH_EXPLOSIVE,0,,,8,1,,0,2,2,5,,750,500,3,350,,,"SYSTEM, STRIKE","strike6, rocket3",,Magellan,,Torpedo,Fast,None,,,Volatile warheads do %s additional damage to armor. This damage is not reduced by armor.,300,,,TRUE,9.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonethrower Cannon,magellan_bonecrusher_ftr,0,,3200,1200,,800,200,0,12,12,3,0.6,3,FRAGMENTATION,200,,0.1,0.9,1,,2,8,1,10,,800,,,100,,,"SYSTEM, DO_NOT_CONSERVE",he13,,Antique Magellan,,Anti Armor,,,,,"Hits on hull or armor have a %s chance to arc to weapons and engines, dealing %s extra %s damage.",20% | 100 | Energy,,,,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Leveller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Diffusion Gun,magellan_diffusionlaser_ftr,0,,3000,500,,200,,5,90,10,24,3.75,12,FRAGMENTATION,50,,,0.6,1.5,0.1,0,0,0,0,,2000,,,,,,SYSTEM,"energy10, leveller, magellan_levellercore_bp, restricted",,Leveller Magellan,,General,,,,,,,,,,4.2
Stunfire Grenade Bay,magellan_stunfire_rack_ftr,0,,400,1500,,350,,30,10,3,6,,,HIGH_EXPLOSIVE,0,,0.1,5.75,2,0.15,4,8,2,5,,800,100,8,200,,,"SYSTEM, GUIDED_POOR, CONSERVE_FOR_ANTI_ARMOR","strike5, missile4",,Leveller Magellan,,Grenade,Fast,,,,Shaped-charge warheads have %s/%s/%s chances to do %s/%s/%s additional damage to armor. This damage is not reduced by armor.,20% | 60% | 20% | 50 | 100 | 150,,,TRUE,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Marauders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glowtide SRM Launcher,magellan_radmissile_builtin,0,,6000,1500,,150,,20,24,5,216,0.6,27,ENERGY,,,,0.25,3,0.15,0,0,0,0,,350,125,6,150,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD",,,Unique Magellan,,General,Medium,Good,,,Each missile deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.,100 | 10,,,TRUE,9.1
Glowtide SRM Array,magellan_cruiserradmissile_builtin,0,,6000,1500,,150,,20,24,0,150,0.6,15,ENERGY,,,,0.25,5,0.15,0,0,0,0,,350,125,6,150,,,"SYSTEM, DO_NOT_AIM, MISSILE_SPREAD",,,The Herd,,General,Medium,Good,,,Each missile deals an additional %s damage to armor over %s seconds. This damage is not reduced by armor.,100 | 10,,,TRUE,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom Heavy Flenser Pod,magellan_medciws_marauder,0,,1200,450,,50,,1,60,12,20,8,10,HIGH_EXPLOSIVE,25,,,0.0714,2.5,0.0714,3,10,1,10,,1200,,,10,,,"SYSTEM, PD, PD_ALSO","pd11, he9",,Unique Magellan,,Point Defense,,,,,One in four rounds is a tracer. %s of the shots reach %s of the maximum range and %s of the shots reach full range.,100% | 50% | 50%,,,,8.1
