id,trigger,conditions,script,text,options,notes
relLevelCooperativeHerd,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == magellan_theherd",,"Both your prowess in battle and your barbecue skills are legendary, and your connections and influence in the Magellan underworld, enviable.",,
relLevelSuspiciousHerd,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == magellan_theherd",,"The Herd, as a whole, only tend to view you with distrust. Incidentally, that's more than can be said for how they see fellow captains.",,
relLevelInhospitableHerd,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == magellan_theherd",,"The Herd are generally only inhospitable towards you, which means you've already made a name for yourself as someone whose interests might align with theirs.",,
relLevelHostileHerd,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == magellan_theherd",,"Your name is not known to Herd captains, for good or ill. Mostly ill, as they'll attack you without a second thought if the opportunity arises, although Herd bases will gladly trade with you.",,
relLevelVengefulHerd,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == magellan_theherd",,"You've made a name for yourself by hunting down the Herd's members; Herd bases are no longer willing to trade with you. There's little practical difference in the attitude of Herd captains, as they were already willing to kill you given the chance.",,
# Hand Mothership to Tichel,,,,,,
mothership_giveToTichel,PopulateOptions,"PlayerFleetHasShipWithBaseHull magellan_mothership_base
$player.numShips > 1
$isPerson
$personFaction.id == magellan_yellowtail
$postId == seniorExecutive
!$player.finishedDealWithTMC",,,"ms_giveToTichel:""I've recovered a Konstantin-class Mothership.""",
ms_giveToTichelSel,DialogOptionSelected,$option == ms_giveToTichel,,"""That's certainly one way to get my attention!"" $personLastName leans forward with a look of conspiratorial mirth. ""You'll have to tell me all about how you pulled off such an amazing feat. But first, might I interest you in a very lucrative opportunity?""","ms_giveToTichelOffer:""Perhaps, depends on how lucrative.""
ms_giveToTichelNotNow:""I'm afraid not.""",
ms_giveToTichelNotNowSel,DialogOptionSelected,$option == ms_giveToTichelNotNow,,"""I see,"" $heOrShe nods. ""You need time to study the ship first. I understand. Please, stay in port for as long as you like. If you want to continue this conversation, I'm always avaliable. Was there anything else?""",cutCommLink:Attend to other business,
ms_giveToTichelOfferSel,DialogOptionSelected,$option == ms_giveToTichelOffer,,"$personLastName sends you a data package from $hisOrHer terminal, a preview of what's on offer.
""In exchange for the mothership, Tichel is willing to provide a complete blueprint package for all of our proprietary ship and strike craft designs, including the plans for a Tichel modified version of the mothership itself, once we have it finalized.""
The $personPost is almost breathless in $hisOrHer eagerness. ""Think of it, captain. Not only would you be doing us a great favor, but one day soon, you'll be able to assemble your own fleet of such magnificent behemoths!""","ms_giveToTichelOffer2:""Don't you think the Skytigers would take issue with that?""
ms_giveToTichelBlueprints:""Sounds like a great deal. I'll take it.""
ms_giveToTichelNotNow:""I need time to think this over.""",
ms_giveToTichelOffer2Sel,DialogOptionSelected,$option == ms_giveToTichelOffer2,,"""You mean the idea of 'upstart merchants' and spacers getting our hands on a ship more powerful than their gaudiest dreadnoughts?"" $HeOrShe laughs. ""The Skytigers are always mad about something. You let us worry about that. Although I suppose if you feel concerned about handing over the ship itself, we could make alternative arrangements.""","ms_giveToTichelOffer3:""Go on.""
ms_giveToTichelNotNow:""I need time to think this over.""",
ms_giveToTichelOffer3Sel,DialogOptionSelected,$option == ms_giveToTichelOffer3,,"""We convert the mothership into a Tichel command ship, with all the usual upgrades, but you'll keep the finished product. Given what we already understand of the tech, going through the conversion process should be enough for us to reverse engineer a complete blueprint.""
""Not only that,"" $personLastName pauses for dramatic effect. ""We'd be willing to share the blueprint as well. The Elders can be very generous when they want to be.""","ms_giveToTichelOffer4:""Generous, but what's the catch?""
ms_giveToTichelNotNow:""I need time to think this over.""",
ms_giveToTichelOffer4Sel,DialogOptionSelected,$option == ms_giveToTichelOffer4,,"""Observant,"" $personLastName concedes. ""The catch is that main gun. The Elders will want it for study, but I doubt it's something we can duplicate in short order. So the ship we hand back won't have it onboard. Is that agreeable?""","ms_giveToTichelOffer5:""And what if it's not?""",
ms_giveToTichelOffer5Sel,DialogOptionSelected,$option == ms_giveToTichelOffer5,,"The Tichel representative thinks for a moment. ""Then I would suggest allowing one of our research teams a tour of the ship. I could offer 100,000 credits as a convenience fee, and we'll leave everything as we found it. Not bad for a few hours of your time.""
$personLastName laces $hisOrHer fingers. ""Personally, I wouldn't take that deal. It's not as good as it looks.""","ms_giveToTichelOffer6:""Why is that?""",
ms_giveToTichelOffer6Sel,DialogOptionSelected,$option == ms_giveToTichelOffer6,,"""Because, captain, the Elders have a reputation to maintain. If you refuse to sell us the mothership now, they won't stoop to grovelling to try and change your mind in the future. Whatever you decide on, that's our final offer. So, what do you say?""","ms_giveToTichelBlueprints:""I'm pleased to conduct a full technology exchange for the mothership.""
ms_giveToTichelUpgrade:""Feel free to upgrade the ship, but I'm keeping it once you're done.""
ms_giveToTichelMoney:""I'll take the credits, if it's all the same to you. Send your team for a quick look.""
ms_giveToTichelDecline:""Actually, I don't think Tichel should have access to this ship, ever.""
ms_giveToTichelNotNow:""I need time to think this over.""",
ms_giveToTichelBlueprintsSel,DialogOptionSelected,$option == ms_giveToTichelBlueprints,$player.canReceiveTMCPackage = true,"""Excellent!"" $personLastName smiles. ""Tichel will take possession of the mothership. Given its onboard nanoforges, the upgrade process shouldn't take long at all. You should have your blueprints before the end of the day. You've done us a great favor today, and we won't forget it.""",ms_giveToTichelBlueprints2:Continue,
ms_giveToTichelBlueprints2Sel,DialogOptionSelected,$option == ms_giveToTichelBlueprints2,"$player.finishedDealWithTMC = true
AddRemoveAnyItem SPECIAL magellan_yellowtail_package 1
AdjustRepActivePerson 25
AdjustRep magellan_protectorate 25
AdjustRep magellan_startigers -25","The mothership is brought inside a massive drydock, where teams of highly trained workers soon begin their work. True to $hisOrHer word, the conversion process is completed remarkably quickly. Using the ship's own forge vats to rebuild its systems certainly sped things along.
You promptly receive a full Tichel blueprint package several hours later. Only time will tell what your benefactors will do with the knowledge you just shared with them.",cutCommLink:Attend to other business,
ms_giveToTichelUpgradeSel,DialogOptionSelected,$option == ms_giveToTichelUpgrade,$player.canReceiveTMCSwap = true,"""Understandable,"" says $personLastName. ""I wouldn't part with it either if I was in your position, but this still helps us a great deal. I'll have the dockyard crews and forge-techs ready to receive the ship. Since we can use its own systems to do most of the heavy lifting, the work won't take long at all.""
$HeOrShe gives a satisfied nod. ""The Tichel Mercantile Concern won't forget this, captain.""",ms_giveToTichelUpgrade2:Continue,
ms_giveToTichelUpgrade2Sel,DialogOptionSelected,$option == ms_giveToTichelUpgrade2,"$player.finishedDealWithTMC = true
AddTextSmall ""Konstantin-class Mothership converted and moved to storage"" highlight
AddRemoveAnyItem SPECIAL ship_bp magellan_mothership_yellowtail 1
AdjustRepActivePerson 20
AdjustRep magellan_protectorate 20
AdjustRep magellan_startigers -20","The mothership is brought inside a massive drydock, where teams of highly trained workers soon begin their work. True to $hisOrHer word, the conversion process is completed remarkably quickly. Using the ship's own forge vats to rebuild its systems certainly sped things along.
Once the process is completed, you promptly receive a blueprint for your new Tichel command ship.",cutCommLink:Attend to other business,
ms_giveToTichelMoneySel,DialogOptionSelected,$option == ms_giveToTichelMoney,"$player.finishedDealWithTMC = true
AddCommodity credits 100000
AdjustRepActivePerson 10
AdjustRep magellan_protectorate 10","""Can't say I'm not disappointed,"" $personLastName admits. ""Still, I appreciate the offer. Leave the arrangements to me. Good day, captain.""
A team of uniformed technicians arrive onboard a Tichel schooner soon after. They spend the rest of the day touring the gargantuan mothership, running diagnostics and taking meticulous measurements everywhere they go. But if they are aware of any of the ship's still hidden secrets, they make no show of it. After a long day's work, they pack up their equipment and depart, which coincides with a prompt payment to your personal account.",cutCommLink:Attend to other business,
ms_giveToTichelDeclineSel,DialogOptionSelected,$option == ms_giveToTichelDecline,"$player.finishedDealWithTMC = true
AdjustRepActivePerson -10","""I see,"" $personLastName replies in a disapproving tone. ""Then we have nothing more to discuss. Good day, captain.""
The line is unceremoniously cut.",cutCommLink:Attend to other business,
# === Magellan Rules ===,,,,,,
magellan_tai_3_conclusion_script,magellan_marauderQuestComplete,,magellan_marauderQuestComplete,,,
magellan_waywardscion_conclusion_script,magellan_waywardScionQuestComplete,,magellan_waywardScionQuestComplete,,,
magellan_blackcollarBaseStoryAction,DialogOptionSelected,$option == magellan_blackcollarBaseStory,"$player.magellan_blackcollarBaseStoryDone = true
AdjustRep magellan_blackcollar SYSTEM_BOUNTY
AddText ""You interface your datapad with the tomb's central archive console, transmitting encrypted Domain-era tactical doctrine algorithms. The terminal cycles through complex fire-control routines and combined-arms matrices.\n\nA senior Blackcollar commander renders a crisp, iron salute. """"Pristine battle-algorithms. Clean, lethal, and uncorrupted. These tactical routines will harden our battle-lines and preserve Legion blood across the sector. You have earned the enduring honor of Crucible Base, Captain.""""""
FireAll PopulateOptions",,,
magellan_oldLevellerHabitatStoryAction,DialogOptionSelected,$option == magellan_oldLevellerHabitatStory,"$player.magellan_oldLevellerHabitatStoryDone = true
AdjustRep magellan_leveller HIGH_IMPACT_BOUNTY
$global.magellan_leveller_logistics_score += 150
AddText ""You transmit the encrypted naval routing vectors and Admiralty patrol timetables into the quartermaster's slate. A slow, predatory grin spreads across their face. """"By the stars... these are the Skytiger destroyer sweep schedules through the jump-points. This intel will let our blockade runners slip right beneath their guns and keep hundreds of partisans alive. Rosebriar will never forget this debt, Captain.""""""
FireAll PopulateOptions",,,
magellan_levellerBossEncounter,OpenInteractionDialog,"$magellan_leveller_boss
$magellan_boss_flagship","FireBest PopulateOptions","""This is the Leveller Liberation Front! Your oppression ends today. Surrender your vessels or be destroyed!"" The flagship's comm channel is heavily encrypted and unyielding.",,
magellan_levellerBossEncounter_Attack,DialogOptionSelected,"$option == magellan_levellerBossEncounter_Attack
$magellan_leveller_boss",,"""All batteries, open fire! For the revolution!""",0:magellan_levellerBossEncounter_Battle:Engage the Leveller strike force.,
magellan_levellerBossEncounter_Surrender,DialogOptionSelected,"$option == magellan_levellerBossEncounter_Surrender
$magellan_leveller_boss","AddText ""The Levellers board your ships, seizing your materiel for the revolution. You are left adrift but alive.""
FireBest CARGO_LOSSES_RESULT","""Wise choice, captain. The people's justice spares those who yield.""",,
magellan_levellerBossEncounter_Options,PopulateOptions,"$magellan_leveller_boss
$magellan_boss_flagship",,"","0:magellan_levellerBossEncounter_Attack:Engage the Leveller strike force.
1:magellan_levellerBossEncounter_Surrender:Surrender your fleet to the insurgents.",
